camera,wavelength_nm,mean_reflectance
FX10,397.66,0.46600804
FX10,400.28,0.4621271
FX10,402.9,0.4432743
FX10,405.52,0.42458972
FX10,408.13,0.41061622
FX10,410.75,0.38417125
FX10,413.37,0.37540817
FX10,416.0,0.3535367
FX10,418.62,0.34315675
FX10,421.24,0.33897656
FX10,423.86,0.33994105
FX10,426.49,0.33629164
FX10,429.12,0.31392628
FX10,431.74,0.31580874
FX10,434.37,0.29274082
FX10,437.0,0.2782515
FX10,439.63,0.2701715
FX10,442.26,0.25725693
FX10,444.89,0.24268422
FX10,447.52,0.24532308
FX10,450.16,0.2333299
FX10,452.79,0.22940043
FX10,455.43,0.2299242
FX10,458.06,0.22577624
FX10,460.7,0.2233363
FX10,463.34,0.22453259
FX10,465.98,0.21573868
FX10,468.62,0.21754473
FX10,471.26,0.21343799
FX10,473.9,0.20400272
FX10,476.54,0.19859527
FX10,479.18,0.19897535
FX10,481.83,0.19006467
FX10,484.47,0.18058349
FX10,487.12,0.17989676
FX10,489.77,0.17676428
FX10,492.42,0.1741668
FX10,495.07,0.173391
FX10,497.72,0.17424041
FX10,500.37,0.17488648
FX10,503.02,0.17935693
FX10,505.67,0.18587862
FX10,508.32,0.19034512
FX10,510.98,0.19644575
FX10,513.63,0.20352289
FX10,516.29,0.21724017
FX10,518.95,0.22663504
FX10,521.61,0.23501217
FX10,524.27,0.2440468
FX10,526.93,0.2552883
FX10,529.59,0.26555172
FX10,532.25,0.268725
FX10,534.91,0.27198973
FX10,537.57,0.27496243
FX10,540.24,0.2790469
FX10,542.91,0.28036347
FX10,545.57,0.27946255
FX10,548.24,0.28145555
FX10,550.91,0.28329393
FX10,553.58,0.28343028
FX10,556.25,0.28161848
FX10,558.92,0.2791738
FX10,561.59,0.27682897
FX10,564.26,0.27254674
FX10,566.94,0.26622996
FX10,569.61,0.2604713
FX10,572.29,0.254941
FX10,574.96,0.24969476
FX10,577.64,0.24347056
FX10,580.32,0.23777665
FX10,583.0,0.23394822
FX10,585.68,0.23308446
FX10,588.36,0.23199947
FX10,591.04,0.22935945
FX10,593.73,0.22673894
FX10,596.41,0.22487634
FX10,599.1,0.22502673
FX10,601.78,0.22576946
FX10,604.47,0.22405335
FX10,607.16,0.22117797
FX10,609.85,0.21823962
FX10,612.53,0.21558473
FX10,615.23,0.21420828
FX10,617.92,0.2134959
FX10,620.61,0.21231897
FX10,623.3,0.2115797
FX10,626.0,0.21145986
FX10,628.69,0.2126289
FX10,631.39,0.21436657
FX10,634.08,0.21435964
FX10,636.78,0.21285045
FX10,639.48,0.20939311
FX10,642.18,0.20466435
FX10,644.88,0.19998813
FX10,647.58,0.1957093
FX10,650.29,0.1918328
FX10,652.99,0.18925086
FX10,655.69,0.18672705
FX10,658.4,0.18315646
FX10,661.1,0.17891118
FX10,663.81,0.17447038
FX10,666.52,0.1689226
FX10,669.23,0.16443387
FX10,671.94,0.16142659
FX10,674.65,0.16017596
FX10,677.36,0.16051172
FX10,680.07,0.16420448
FX10,682.79,0.16921027
FX10,685.5,0.18058088
FX10,688.22,0.19874518
FX10,690.93,0.22526067
FX10,693.65,0.25657064
FX10,696.37,0.29327634
FX10,699.09,0.33821282
FX10,701.81,0.3817869
FX10,704.53,0.4229026
FX10,707.25,0.4610346
FX10,709.97,0.49535513
FX10,712.7,0.527297
FX10,715.42,0.5573207
FX10,718.15,0.58523977
FX10,720.87,0.61194634
FX10,723.6,0.6354606
FX10,726.33,0.65402305
FX10,729.06,0.66848034
FX10,731.79,0.6793037
FX10,734.52,0.68759835
FX10,737.25,0.6940579
FX10,739.98,0.69922054
FX10,742.72,0.7033481
FX10,745.45,0.7067538
FX10,748.19,0.7093858
FX10,750.93,0.7110935
FX10,753.66,0.71303165
FX10,756.4,0.71416646
FX10,759.14,0.71471894
FX10,761.88,0.7151528
FX10,764.62,0.71620953
FX10,767.36,0.7182661
FX10,770.11,0.7194714
FX10,772.85,0.72032243
FX10,775.6,0.7207169
FX10,778.34,0.72167
FX10,781.09,0.72252184
FX10,783.84,0.7238487
FX10,786.58,0.7248475
FX10,789.33,0.72572166
FX10,792.08,0.7258092
FX10,794.84,0.7263867
FX10,797.59,0.72656876
FX10,800.34,0.7265819
FX10,803.1,0.72592497
FX10,805.85,0.7256856
FX10,808.61,0.72720945
FX10,811.36,0.7278419
FX10,814.12,0.7286565
FX10,816.88,0.72898185
FX10,819.64,0.7298338
FX10,822.4,0.7305362
FX10,825.16,0.7307984
FX10,827.92,0.7306465
FX10,830.69,0.7307003
FX10,833.45,0.7303336
FX10,836.22,0.73066527
FX10,838.98,0.7312119
FX10,841.75,0.7317479
FX10,844.52,0.7322334
FX10,847.29,0.73271894
FX10,850.06,0.7332731
FX10,852.83,0.73345816
FX10,855.6,0.73370105
FX10,858.37,0.7338376
FX10,861.14,0.73405004
FX10,863.92,0.73405945
FX10,866.69,0.73365474
FX10,869.47,0.73388886
FX10,872.25,0.7341346
FX10,875.03,0.73437285
FX10,877.8,0.73455596
FX10,880.58,0.7350449
FX10,883.37,0.7353666
FX10,886.15,0.7355928
FX10,888.93,0.7358607
FX10,891.71,0.73609996
FX10,894.5,0.7360081
FX10,897.28,0.7362551
FX10,900.07,0.73616177
FX10,902.86,0.7363743
FX10,905.64,0.73602134
FX10,908.43,0.7356934
FX10,911.22,0.7357476
FX10,914.02,0.73549217
FX10,916.81,0.73569137
FX10,919.6,0.735592
FX10,922.39,0.7351537
FX10,925.19,0.7346343
FX10,927.98,0.7331514
FX10,930.78,0.7316637
FX10,933.58,0.72957957
FX10,936.38,0.72704643
FX10,939.18,0.7240029
FX10,941.98,0.7210704
FX10,944.78,0.71697485
FX10,947.58,0.71199924
FX10,950.38,0.7068313
FX10,953.19,0.70075226
FX10,955.99,0.69552046
FX10,958.8,0.69173974
FX10,961.6,0.689522
FX10,964.41,0.689068
FX10,967.22,0.688998
FX10,970.03,0.68873554
FX10,972.84,0.6882792
FX10,975.65,0.6894616
FX10,978.46,0.68878216
FX10,981.27,0.68985426
FX10,984.09,0.6912592
FX10,986.9,0.691541
FX10,989.72,0.6938896
FX10,992.54,0.69604033
FX10,995.35,0.696979
FX10,998.17,0.69998163
FX10,1000.99,0.70232207
FX10,1003.81,0.7027063
FX17_original,935.61,0.7161984
FX17_original,939.06,0.7139799
FX17_original,942.52,0.7093998
FX17_original,945.98,0.7055641
FX17_original,949.43,0.7005591
FX17_original,952.89,0.69567174
FX17_original,956.35,0.6920549
FX17_original,959.81,0.688414
FX17_original,963.27,0.6856128
FX17_original,966.73,0.6844049
FX17_original,970.19,0.6848366
FX17_original,973.65,0.68555903
FX17_original,977.11,0.6856636
FX17_original,980.58,0.686934
FX17_original,984.04,0.6886527
FX17_original,987.51,0.6901684
FX17_original,990.97,0.6927219
FX17_original,994.43,0.69545794
FX17_original,997.9,0.69800097
FX17_original,1001.37,0.700829
FX17_original,1004.83,0.70354563
FX17_original,1008.3,0.7062218
FX17_original,1011.77,0.70979714
FX17_original,1015.24,0.7126036
FX17_original,1018.71,0.7159379
FX17_original,1022.18,0.7180895
FX17_original,1025.65,0.7208119
FX17_original,1029.12,0.7231701
FX17_original,1032.59,0.7253919
FX17_original,1036.06,0.72766876
FX17_original,1039.53,0.7294163
FX17_original,1043.0,0.7322007
FX17_original,1046.48,0.7335845
FX17_original,1049.95,0.7349384
FX17_original,1053.43,0.736173
FX17_original,1056.9,0.7377794
FX17_original,1060.38,0.7389477
FX17_original,1063.85,0.73968065
FX17_original,1067.33,0.74007773
FX17_original,1070.81,0.7407167
FX17_original,1074.29,0.74158454
FX17_original,1077.76,0.7416463
FX17_original,1081.24,0.7423844
FX17_original,1084.72,0.7422906
FX17_original,1088.2,0.74174225
FX17_original,1091.68,0.74124914
FX17_original,1095.17,0.74063784
FX17_original,1098.65,0.74071324
FX17_original,1102.13,0.7403731
FX17_original,1105.61,0.7393604
FX17_original,1109.1,0.73851556
FX17_original,1112.58,0.73798305
FX17_original,1116.07,0.7369918
FX17_original,1119.55,0.73653895
FX17_original,1123.04,0.73492295
FX17_original,1126.52,0.73247916
FX17_original,1130.01,0.72877145
FX17_original,1133.5,0.72196794
FX17_original,1136.99,0.7122586
FX17_original,1140.47,0.69956213
FX17_original,1143.96,0.6866254
FX17_original,1147.45,0.6748538
FX17_original,1150.94,0.66637427
FX17_original,1154.43,0.6612452
FX17_original,1157.93,0.6582084
FX17_original,1161.42,0.65723336
FX17_original,1164.91,0.6572754
FX17_original,1168.4,0.65798736
FX17_original,1171.9,0.65922594
FX17_original,1175.39,0.659905
FX17_original,1178.89,0.6595573
FX17_original,1182.38,0.6569204
FX17_original,1185.88,0.6533585
FX17_original,1189.37,0.6506721
FX17_original,1192.87,0.6489873
FX17_original,1196.37,0.6474816
FX17_original,1199.87,0.64709365
FX17_original,1203.37,0.64686024
FX17_original,1206.87,0.6479804
FX17_original,1210.37,0.64905304
FX17_original,1213.87,0.6504776
FX17_original,1217.37,0.65120137
FX17_original,1220.87,0.65292686
FX17_original,1224.37,0.6548988
FX17_original,1227.87,0.65622765
FX17_original,1231.38,0.6581737
FX17_original,1234.88,0.6602258
FX17_original,1238.39,0.6617556
FX17_original,1241.89,0.66325057
FX17_original,1245.4,0.66443354
FX17_original,1248.9,0.6658579
FX17_original,1252.41,0.66723895
FX17_original,1255.92,0.66861665
FX17_original,1259.42,0.66909033
FX17_original,1262.93,0.6697111
FX17_original,1266.44,0.6706
FX17_original,1269.95,0.6708979
FX17_original,1273.46,0.67063254
FX17_original,1276.97,0.6700951
FX17_original,1280.48,0.6690427
FX17_original,1283.99,0.66759145
FX17_original,1287.51,0.6655876
FX17_original,1291.02,0.66327614
FX17_original,1294.53,0.66024965
FX17_original,1298.05,0.6568495
FX17_original,1301.56,0.6528503
FX17_original,1305.08,0.64764243
FX17_original,1308.59,0.6423767
FX17_original,1312.11,0.6373781
FX17_original,1315.62,0.6313573
FX17_original,1319.14,0.6242798
FX17_original,1322.66,0.61677444
FX17_original,1326.18,0.60944146
FX17_original,1329.7,0.60238373
FX17_original,1333.22,0.5946748
FX17_original,1336.74,0.58759665
FX17_original,1340.26,0.5823431
FX17_original,1343.78,0.57768273
FX17_original,1347.3,0.57440996
FX17_original,1350.82,0.57201403
FX17_original,1354.35,0.5705522
FX17_original,1357.87,0.5680022
FX17_original,1361.39,0.5641712
FX17_original,1364.92,0.55846155
FX17_original,1368.44,0.54938936
FX17_original,1371.97,0.5376715
FX17_original,1375.5,0.5228297
FX17_original,1379.02,0.5051752
FX17_original,1382.55,0.48142377
FX17_original,1386.08,0.4503081
FX17_original,1389.61,0.4155407
FX17_original,1393.14,0.3827469
FX17_original,1396.67,0.3513268
FX17_original,1400.2,0.3245607
FX17_original,1403.73,0.30204928
FX17_original,1407.26,0.28257978
FX17_original,1410.79,0.26766315
FX17_original,1414.32,0.25645483
FX17_original,1417.86,0.24781801
FX17_original,1421.39,0.24025682
FX17_original,1424.92,0.23469597
FX17_original,1428.46,0.23061444
FX17_original,1431.99,0.22746886
FX17_original,1435.53,0.22559564
FX17_original,1439.07,0.22438042
FX17_original,1442.6,0.22310914
FX17_original,1446.14,0.22279023
FX17_original,1449.68,0.22295615
FX17_original,1453.22,0.22360215
FX17_original,1456.76,0.22493653
FX17_original,1460.3,0.22653988
FX17_original,1463.84,0.23000157
FX17_original,1467.38,0.23493566
FX17_original,1470.92,0.2408271
FX17_original,1474.46,0.24836203
FX17_original,1478.01,0.25692546
FX17_original,1481.55,0.26557326
FX17_original,1485.09,0.2745807
FX17_original,1488.64,0.28295958
FX17_original,1492.18,0.29148915
FX17_original,1495.73,0.29838777
FX17_original,1499.27,0.30498356
FX17_original,1502.82,0.3114522
FX17_original,1506.37,0.31813216
FX17_original,1509.91,0.32461485
FX17_original,1513.46,0.33180785
FX17_original,1517.01,0.3387274
FX17_original,1520.56,0.3461522
FX17_original,1524.11,0.35282728
FX17_original,1527.66,0.35975295
FX17_original,1531.21,0.3670891
FX17_original,1534.76,0.37406537
FX17_original,1538.32,0.3811569
FX17_original,1541.87,0.38844535
FX17_original,1545.42,0.3959589
FX17_original,1548.98,0.40290993
FX17_original,1552.53,0.40999392
FX17_original,1556.09,0.4168254
FX17_original,1559.64,0.42383862
FX17_original,1563.2,0.4303575
FX17_original,1566.75,0.43585375
FX17_original,1570.31,0.44288513
FX17_original,1573.87,0.4486789
FX17_original,1577.43,0.45436314
FX17_original,1580.99,0.45995647
FX17_original,1584.55,0.46523002
FX17_original,1588.11,0.4702566
FX17_original,1591.67,0.47515205
FX17_original,1595.23,0.48034722
FX17_original,1598.79,0.48620084
FX17_original,1602.35,0.49242693
FX17_original,1605.92,0.49755856
FX17_original,1609.48,0.5025644
FX17_original,1613.04,0.5044492
FX17_original,1616.61,0.5058714
FX17_original,1620.17,0.50790644
FX17_original,1623.74,0.5099044
FX17_original,1627.31,0.51256526
FX17_original,1630.87,0.5154673
FX17_original,1634.44,0.5191374
FX17_original,1638.01,0.5233367
FX17_original,1641.58,0.5257824
FX17_original,1645.15,0.530468
FX17_original,1648.71,0.53694594
FX17_original,1652.29,0.54332095
FX17_original,1655.86,0.5491464
FX17_original,1659.43,0.5568309
FX17_original,1663.0,0.56611145
FX17_original,1666.57,0.5789909
FX17_original,1670.14,0.5930444
FX17_original,1673.72,0.60426056
FX17_original,1677.29,0.612129
FX17_original,1680.87,0.614812
FX17_original,1684.44,0.61303294
FX17_original,1688.02,0.61296415
FX17_original,1691.59,0.60816085
FX17_original,1695.17,0.6038033
FX17_original,1698.75,0.60115755
FX17_original,1702.33,0.6039917
FX17_original,1705.91,0.6124672
FX17_original,1709.49,0.61847055
FX17_original,1713.07,0.62309605
FX17_original,1716.65,0.6304193
FX17_original,1720.23,0.6399429
FX17_corrected,935.61,0.7268887094484375
FX17_corrected,939.06,0.7240555794481341
FX17_corrected,942.52,0.7182065589657776
FX17_corrected,945.98,0.7133081061202773
FX17_corrected,949.43,0.7069164369605385
FX17_corrected,952.89,0.7006750256895854
FX17_corrected,956.35,0.6960561560383653
FX17_corrected,959.81,0.6914064584008444
FX17_corrected,963.27,0.6878291940941744
FX17_corrected,966.73,0.6862866530018544
FX17_corrected,970.19,0.6868379791864917
FX17_corrected,973.65,0.6877605352209806
FX17_corrected,977.11,0.6878940470431335
FX17_corrected,980.58,0.6895164364258972
FX17_corrected,984.04,0.691711312932043
FX17_corrected,987.51,0.6936469298793217
FX17_corrected,990.97,0.696907921882089
FX17_corrected,994.43,0.7004019886849887
FX17_corrected,997.9,0.7036495838344499
FX17_corrected,1001.37,0.7072611775777168
FX17_corrected,1004.83,0.7107304297546063
FX17_corrected,1008.3,0.7141480735988733
FX17_corrected,1011.77,0.7187139647847465
FX17_corrected,1015.24,0.7222980036365543
FX17_corrected,1018.71,0.7265560716703257
FX17_corrected,1022.18,0.7293037967308026
FX17_corrected,1025.65,0.7327804324007073
FX17_corrected,1029.12,0.735791984129133
FX17_corrected,1032.59,0.7386293767645793
FX17_corrected,1036.06,0.7415370267613979
FX17_corrected,1039.53,0.7437687446141354
FX17_corrected,1043.0,0.7473245435081218
FX17_corrected,1046.48,0.7490917863672579
FX17_corrected,1049.95,0.7508207416285929
FX17_corrected,1053.43,0.7523973838020557
FX17_corrected,1056.9,0.7544488530830384
FX17_corrected,1060.38,0.7559408515015217
FX17_corrected,1063.85,0.7568768805078013
FX17_corrected,1067.33,0.7573839818528315
FX17_corrected,1070.81,0.758199972008749
FX17_corrected,1074.29,0.7593082571458908
FX17_corrected,1077.76,0.7593871158960336
FX17_corrected,1081.24,0.760329691091997
FX17_corrected,1084.72,0.7602099567155737
FX17_corrected,1088.2,0.7595096666563906
FX17_corrected,1091.68,0.7588799384325188
FX17_corrected,1095.17,0.7580992672534992
FX17_corrected,1098.65,0.7581955571366368
FX17_corrected,1102.13,0.7577611489444893
FX17_corrected,1105.61,0.7564678958895416
FX17_corrected,1109.1,0.7553889924874916
FX17_corrected,1112.58,0.7547089499452372
FX17_corrected,1116.07,0.7534430995447792
FX17_corrected,1119.55,0.7528647512980756
FX17_corrected,1123.04,0.7508010269410572
FX17_corrected,1126.52,0.7476801690686112
FX17_corrected,1130.01,0.7429452187282333
FX17_corrected,1133.5,0.7342567504113436
FX17_corrected,1136.99,0.7218573537286618
FX17_corrected,1140.47,0.7056432791855499
FX17_corrected,1143.96,0.6891223710306374
FX17_corrected,1147.45,0.6740893508960346
FX17_corrected,1150.94,0.6632605069080401
FX17_corrected,1154.43,0.6567104351816535
FX17_corrected,1157.93,0.6528321983865042
FX17_corrected,1161.42,0.6515870522138829
FX17_corrected,1164.91,0.6516407157455921
FX17_corrected,1168.4,0.6525499510452596
FX17_corrected,1171.9,0.6541316931571968
FX17_corrected,1175.39,0.6549989110533133
FX17_corrected,1178.89,0.6545548358136096
FX17_corrected,1182.38,0.6511873540507558
FX17_corrected,1185.88,0.6466386656424234
FX17_corrected,1189.37,0.643207929418789
FX17_corrected,1192.87,0.641056364330434
FX17_corrected,1196.37,0.6391335352885839
FX17_corrected,1199.87,0.6386380800717119
FX17_corrected,1203.37,0.638340000085651
FX17_corrected,1206.87,0.6397704947685016
FX17_corrected,1210.37,0.6411403230190512
FX17_corrected,1213.87,0.6429595548032332
FX17_corrected,1217.37,0.64388386156287
FX17_corrected,1220.87,0.6460874155762709
FX17_corrected,1224.37,0.6486057195238808
FX17_corrected,1227.87,0.6503027050216444
FX17_corrected,1231.38,0.6527878974284124
FX17_corrected,1234.88,0.6554085807379354
FX17_corrected,1238.39,0.6573622377660866
FX17_corrected,1241.89,0.6592713654806919
FX17_corrected,1245.4,0.6607820890464098
FX17_corrected,1248.9,0.6626010924751375
FX17_corrected,1252.41,0.664364757765493
FX17_corrected,1255.92,0.6661241604207057
FX17_corrected,1259.42,0.6667290740185673
FX17_corrected,1262.93,0.6675218480366533
FX17_corrected,1266.44,0.668657002998892
FX17_corrected,1269.95,0.6690374431853916
FX17_corrected,1273.46,0.6686985636915348
FX17_corrected,1276.97,0.6680122033150507
FX17_corrected,1280.48,0.666668255349297
FX17_corrected,1283.99,0.6648149224839722
FX17_corrected,1287.51,0.6622558951470512
FX17_corrected,1291.02,0.6593040203106255
FX17_corrected,1294.53,0.6554390281318129
FX17_corrected,1298.05,0.6510968491724549
FX17_corrected,1301.56,0.6459896033234394
FX17_corrected,1305.08,0.6393389029602877
FX17_corrected,1308.59,0.6326142915484982
FX17_corrected,1312.11,0.6262307670666218
FX17_corrected,1315.62,0.6185418866907313
FX17_corrected,1319.14,0.6095035016997044
FX17_corrected,1322.66,0.5999187382255453
FX17_corrected,1326.18,0.5905541094091207
FX17_corrected,1329.7,0.5815409957550121
FX17_corrected,1333.22,0.5716962876556236
FX17_corrected,1336.74,0.562657065361265
FX17_corrected,1340.26,0.5559479821203531
FX17_corrected,1343.78,0.549996430039114
FX17_corrected,1347.3,0.5458169162815467
FX17_corrected,1350.82,0.5427571815523098
FX17_corrected,1354.35,0.5408902995967096
FX17_corrected,1357.87,0.5376338747030239
FX17_corrected,1361.39,0.5327414352178145
FX17_corrected,1364.92,0.5254498933320256
FX17_corrected,1368.44,0.5138642032507205
FX17_corrected,1371.97,0.4988998419893115
FX17_corrected,1375.5,0.4799460348266156
FX17_corrected,1379.02,0.4574001963712191
FX17_corrected,1382.55,0.4270683122942204
FX17_corrected,1386.08,0.3873318752555752
FX17_corrected,1389.61,0.34293192507443715
FX17_corrected,1393.14,0.3010524101584802
FX17_corrected,1396.67,0.26092715990001913
FX17_corrected,1400.2,0.2267453551041772
FX17_corrected,1403.73,0.1979970019235061
FX17_corrected,1407.26,0.17313335560918325
FX17_corrected,1410.79,0.15408398168895426
FX17_corrected,1414.32,0.13977031929395028
FX17_corrected,1417.86,0.12874061765446987
FX17_corrected,1421.39,0.11908455018977387
FX17_corrected,1424.92,0.11198303810102311
